Country,Total Cases,Total Death,Total Cured,Active,Serious,Total Cases per 1M,Deaths per 1M,Total Tests,Population
USA,"2,066,611","115,140","808,551","1,142,920","16,838","6,245",348,"22,627,787","330,896,410"
Brazil,"775,184","39,797","396,692","338,695","8,318","3,648",187,"1,364,423","212,475,738"
Russia,"502,436","6,532","261,150","234,754","2,300","3,443",45,"13,800,000","145,931,211"
UK,"290,143","41,128",N/A,N/A,516,"4,275",606,"6,042,622","67,866,605"
Spain,"289,360","27,136",N/A,N/A,617,"6,189",580,"4,465,338","46,753,838"
India,"287,679","8,115","141,119","138,445","8,944",209,6,"5,213,140","1,379,233,699"
Italy,"235,763","34,114","169,939","31,710",249,"3,899",564,"4,381,349","60,466,359"
Peru,"208,823","5,903","98,031","104,889","1,065","6,339",179,"1,255,756","32,944,770"
Germany,"186,510","8,844","171,200","6,466",492,"2,226",106,"4,694,147","83,769,646"
Iran,"180,156","8,584","142,663","28,909","2,728","2,146",102,"1,173,208","83,930,199"
Turkey,"173,036","4,746","146,839","21,451",631,"2,053",56,"2,451,700","84,287,073"
France,"155,136","29,319","71,832","53,985",933,"2,377",449,"1,384,633","65,265,877"
Chile,"148,496","2,475","121,820","24,201","1,689","7,772",130,"761,090","19,106,987"
Mexico,"129,184","15,357","93,930","19,897",378,"1,003",119,"369,362","128,855,326"
Pakistan,"119,536","2,356","38,391","78,789",111,542,11,"780,825","220,626,768"
Saudi Arabia,"112,288",819,"77,954","33,515","1,693","3,228",24,"1,019,812","34,781,424"
Canada,"97,125","7,960","56,639","32,526","1,864","2,575",211,"1,989,255","37,723,541"
China,"83,057","4,634","78,361",62,,58,3,,"1,439,323,776"
Bangladesh,"78,052","1,049","16,747","60,256",1,474,6,"457,332","164,596,070"
Qatar,"73,595",66,"49,413","24,116",226,"26,211",24,"269,964","2,807,805"
Belgium,"59,711","9,636","16,453","33,622",99,"5,153",832,"983,670","11,586,902"
South Africa,"55,421","1,210","31,505","22,706",208,935,20,"998,400","59,265,120"
Belarus,"51,816",293,"26,643","24,880",92,"5,483",31,"678,570","9,449,483"
Netherlands,"48,087","6,042",N/A,N/A,80,"2,807",353,"435,587","17,132,868"
Sweden,"46,814","4,795",N/A,N/A,288,"4,637",475,"325,000","10,095,806"
Ecuador,"44,440","3,720","21,862","18,858",219,"2,521",211,"128,175","17,627,077"
Colombia,"43,682","1,433","17,333","24,916",335,859,28,"444,933","50,851,849"
UAE,"40,986",286,"25,234","15,466",1,"4,147",29,"2,582,000","9,883,472"
Singapore,"39,387",25,"26,532","12,830",3,"6,735",4,"488,695","5,847,776"
Egypt,"38,284","1,342","10,289","26,653",41,375,13,"135,000","102,215,478"
Portugal,"35,600","1,497","21,742","12,361",70,"3,491",147,"954,069","10,198,203"
Indonesia,"35,295","2,000","12,636","20,659",,129,7,"463,620","273,358,192"
Kuwait,"34,432",279,"24,137","10,016",184,"8,070",65,"327,144","4,266,818"
Switzerland,"31,044","1,937","28,700",407,18,"3,588",224,"441,628","8,651,110"
Ukraine,"29,070",854,"13,141","15,075",306,665,20,"456,509","43,746,561"
Poland,"28,201","1,215","13,696","13,290",75,745,32,"1,129,039","37,848,732"
Argentina,"25,987",735,"7,991","17,261",274,575,16,"208,519","45,172,359"
Ireland,"25,231","1,695","22,698",838,34,"5,113",343,"367,780","4,934,614"
Philippines,"24,175","1,036","5,165","17,974",82,221,9,"463,025","109,495,553"
Afghanistan,"22,890",426,"3,326","19,138",19,589,11,"52,546","38,872,577"
Romania,"21,182","1,369","15,283","4,530",153,"1,101",71,"531,619","19,243,900"
Dominican Republic,"20,808",550,"12,318","7,940",110,"1,919",51,"100,035","10,841,720"
Oman,"19,954",89,"6,623","13,242",92,"3,914",17,"129,527","5,098,156"
Israel,"18,461",300,"15,214","2,947",31,"2,007",33,"706,906","9,197,590"
Panama,"17,889",413,"10,977","6,499",90,"4,150",96,"82,774","4,310,696"
Japan,"17,251",919,"15,298","1,034",91,136,7,"324,675","126,495,892"
Austria,"17,034",674,"15,949",411,13,"1,892",75,"506,344","9,003,589"
Bahrain,"16,667",32,"11,487","5,148",14,"9,819",19,"393,910","1,697,405"
Iraq,"15,414",426,"6,214","8,774",88,384,11,"330,526","40,165,118"
